"player_id","race","payer","purchases","total_spend","avg_purchase_amount"
"94-7212827",Elf,0,66,27733.297,420.2013614394448
"52-3209686",Human,0,22,27254.242,1238.829086357897
"83-7602562",Human,1,50,6338.7993,126.77599846497178
"16-2564695",Northman,0,8,2606.75,325.84375417232513
"62-8893603",Human,0,9,1717.8301,190.870000925329
"72-0606109",Human,0,17,2178.5403,128.149412056979
"70-0495298",Elf,0,132,55869.453,423.25340627179
"50-7455165",Elf,0,6,1422.41,237.0683364868164
"63-8564736",Elf,1,25,9927.701,397.10799072265627
"81-0151976",Orc,0,16,2968.4897,185.53062447346747
"44-5636705",Human,0,83,53411.21,643.5084346259933
"15-5449902",Human,0,6,1186.5901,197.76499811808267
"27-8997384",Orc,0,21,15534.09,739.7185676211402
"20-2738245",Northman,0,34,75425.33,2218.3920660579906
"72-9646541",Northman,0,13,8698.061,669.0815417583173
"40-3136862",Northman,0,6,920.83,153.4716657002767
"85-5000992",Human,1,14,13415.6,958.2571236065456
"16-2969940",Northman,0,115,19112.74,166.19773772073827
"35-4474992",Human,0,24,2531.2605,105.46916617453098
"94-7805803",Northman,0,40,20669.932,516.7482508182526
"29-4956606",Hobbit,0,58,34639.52,597.2329322716286
"51-1064459",Hobbit,0,3,681.04,227.01332791646323
"67-4302193",Human,0,22,12337.56,560.7981851751155
"31-1423201",Demon,0,19,6205.81,326.62158122815583
"45-4640418",Northman,1,91,16081.252,176.71703259180208
"24-0296230",Elf,0,65,87014.22,1338.6801521888146
"14-3665916",Orc,1,47,10664.392,226.90191455597574
"06-2390201",Human,0,27,62461.85,2313.401861967864
"99-5912028",Orc,0,26,20038.062,770.6946196280993
"90-4035298",Human,0,24,14882.941,620.1224998633066
"72-3692591",Elf,0,12,2069.9697,172.4974954922994
"20-2339187",Human,0,110,45321.582,412.01436539563264
"08-7418031",Human,1,26,5089.9995,195.769230732551
"70-9158099",Orc,0,42,43878.395,1044.7235757736933
"11-5495291",Human,1,28,3140.62,112.1649991784777
"64-8564962",Hobbit,0,20,9230.71,461.535502243042
"90-5700282",Orc,0,17,9956.9,585.6999924603631
"03-0344195",Elf,0,56,9284.589,165.79624976217747
"55-7975245",Orc,1,54,32865.992,608.6294473097832
"29-9946377",Orc,1,22,8815.211,400.69135934656316
"76-0745701",Elf,0,25,1602.08,64.08319931983948
"09-5442101",Angel,0,28,61041.715,2180.0610600880213
"23-9126437",Hobbit,0,8,9298.1,1162.262505531311
"56-2985077",Hobbit,0,13,5160.6797,396.97538977402905
"15-2421615",Orc,0,35,12015.68,343.30513324737547
"37-1480252",Northman,0,126,21033.111,166.92944332909963
"01-0027092",Human,0,23,25786.889,1121.1691337253737
"26-1157400",Northman,0,32,3208.34,100.2606246843934
"00-7800396",Hobbit,1,14,9381.85,670.132138967514
"49-9213256",Human,0,3,4342.0996,1447.3666483561199
"40-9248219",Orc,0,30,34678.81,1155.9603136698404
"85-9343009",Orc,0,66,39793.797,602.9362088694717
"49-4107643",Hobbit,0,166,420575.06,2533.5839176781205
"20-6201011",Demon,1,54,43171.707,799.4759194056193
"64-7652771",Orc,0,82,139203.81,1697.6073140632816
"89-4714004",Angel,0,26,3653.411,140.5157694541491
"34-5531311",Hobbit,0,16,4458.15,278.63436818122864
"64-9265008",Orc,0,32,11510.35,359.6984361410141
"21-8090420",Elf,1,7,2208.47,315.49571119035994
"20-4135672",Human,0,44,21072.664,478.9240818890658
"88-1644105",Human,1,126,107533.98,853.444283901699
"15-6337014",Human,1,7,2403.1301,343.30428559439525
"21-3371106",Human,0,15,18163.48,1210.8986465454102
"76-1917603",Human,1,27,3822.5496,141.57592506761904
"40-5490398",Northman,0,4,509.08002,127.27000093460083
"20-2358645",Human,0,25,26478.82,1059.1527979278565
"42-1754771",Human,1,6,1340.0499,223.34166463216147
"25-5368413",Hobbit,0,8,1139.9601,142.4950001835823
"71-3364628",Human,0,15,1673.21,111.54733549753824
"38-3746099",Hobbit,1,19,103097.66,5426.192508095189
"65-8594726",Orc,0,4,456.68002,114.17000198364258
"43-1523755",Human,0,14,67804.21,4843.157826559885
"92-0324157",Orc,0,8,1874.81,234.35124871134758
"61-0745786",Orc,0,26,19585.152,753.2750172248253
"61-9139404",Human,0,33,15374.392,465.89060164942885
"28-8353541",Human,0,31,9661.99,311.6770972897929
"04-1678316",Hobbit,0,68,12754.561,187.56706036189024
"65-0831032",Orc,1,19,3011.49,158.4994752909008
"66-6080331",Orc,0,1,374.32,374.32000732421875
"98-0445381",Hobbit,0,50,46297.145,925.9430003356933
"36-8515684",Elf,1,6,333.13,55.52166779836019
"24-5619385",Elf,0,5,3091.2002,618.2400054931641
"51-0495216",Hobbit,0,27,7501.36,277.82815180884467
"00-2228674",Human,0,73,41317.586,565.9943840111772
"23-4809450",Hobbit,1,34,8647.77,254.34617751332766
"07-2831692",Human,0,259,35124.793,135.61690989260393
"86-2771913",Orc,0,155,118089.805,761.8697395878453
"92-8383873",Hobbit,0,76,142846.44,1879.5586735951274
"60-2527371",Angel,0,4,2582.8,645.6999855041504
"84-6929069",Northman,1,4,984.46,246.1150026321411
"17-2475823",Orc,0,32,16629.014,519.6565663910005
"32-3367883",Orc,0,52,97531.96,1875.6144350675436
"53-1407881",Hobbit,0,37,9673.91,261.45702646229716
"03-5137663",Human,0,111,34166.09,307.8026134865778
"11-8429930",Human,0,66,16126.558,244.3418176535404
"82-9186243",Human,1,55,55938.008,1017.0547078912908
"40-6894866",Human,0,20,20587.57,1029.3785102844238
"97-8369877",Hobbit,0,4,1497.2799,374.3199882507324
"54-7389325",Human,0,4,3922.87,980.7175140380859
"45-0680329",Hobbit,0,127,42237.45,332.57834509977204
"28-1505522",Northman,0,29,28927.402,997.496548356681
"17-0266407",Human,0,107,41709.98,389.81289958508216
"78-8095998",Elf,1,3,2470.51,823.5033416748047
"71-2182136",Human,0,10,7729.68,772.9679877281189
"99-8654875",Human,1,15,2141.09,142.73933372497558
"23-0954540",Northman,0,2,524.05,262.0250015258789
"05-3175065",Angel,0,24,9728.351,405.34791590770084
"01-4338312",Northman,0,19,5498.24,289.38104906835053
"83-7959367",Elf,0,17,33666.426,1980.378256853889
"21-8718147",Elf,0,12,1471.0599,122.58833456039429
"46-5923521",Northman,0,7,4091.3,584.4714221954346
"58-5762345",Elf,1,4,640.08997,160.02250003814697
"61-2666847",Human,0,4,1465.61,366.40249252319336
"30-3582057",Human,0,21,7415.5796,353.12285029888153
"96-5632854",Hobbit,0,5,924.57,184.91400260925292
"04-9424955",Human,0,15,5622.82,374.85466823577883
"90-2304810",Angel,0,23,46636.523,2027.6747804724653
"21-9190019",Orc,0,9,9552.92,1061.4355896843804
"54-1441578",Human,1,145,222151.72,1532.0824620131789
"54-7673243",Hobbit,0,40,23824.375,595.6092504262924
"87-2927705",Northman,0,38,17153.41,451.40552804344577
"78-9065792",Orc,0,1,37.43,37.43000030517578
"35-2997656",Orc,0,4,9732.31,2433.0774536132812
"58-1673552",Human,0,2,606.4,303.2000045776367
"60-1453906",Human,0,62,127029.055,2048.8558276699437
"60-0753863",Human,0,1,149.73,149.72999572753906
"73-9475373",Northman,1,139,243185.5,1749.536107518757
"14-3810962",Elf,0,21,1353.5598,64.45523712748573
"98-7480996",Human,0,113,64410.312,570.0025673777657
"47-1993244",Orc,0,23,7333.6094,318.8526064934938
"05-0088915",Northman,0,180,107761.16,598.6734416095643
"83-7304949",Hobbit,0,32,4701.4297,146.9196883738041
"95-8848935",Demon,0,1,59.89,59.88999938964844
"13-8182292",Human,0,34,54718.85,1609.3779028583976
"40-6427252",Human,0,48,19078.951,397.4781214557588
"04-3676583",Northman,0,1,53.29,53.290000915527344
"79-5368859",Hobbit,0,3,3069.4202,1023.1399993896484
"69-4181560",Human,0,5,3897.4001,779.4800123214721
"46-7041470",Human,0,2,935.8,467.8999938964844
"58-1968556",Northman,0,115,80596.734,700.840959051381
"76-0598741",Hobbit,0,33,4619.1016,139.97272751548073
"41-3742472",Elf,0,161,461872.7,2868.775272548569
"49-1953601",Hobbit,1,23,28934.871,1258.037827864937
"06-8013655",Hobbit,0,2,29.949999,14.97499942779541
"59-7581226",Hobbit,0,2,253.04001,126.52000427246094
"74-3656392",Demon,0,32,13986.732,437.0853157043457
"20-2849037",Hobbit,1,11,2626.63,238.78453887592661
"57-0177128",Hobbit,0,20,8781.54,439.0769985198975
"82-1173913",Elf,0,1,31.07,31.06999969482422
"72-5521152",Orc,1,41,37400.76,912.2136506627246
"46-7107133",Human,0,54,120257.97,2226.999250950637
"69-0293147",Hobbit,0,156,46949.22,300.95654037212717
"31-7516542",Orc,0,71,142417.56,2005.8812711339601
"82-2262671",Human,0,3,81.53,27.176666577657063
"92-2505541",Human,0,67,56021.547,836.1423907493478
"91-9327477",Northman,0,123,76393.164,621.0826069649642
"58-4220867",Human,0,32,3997.7004,124.92812428623438
"52-5500201",Orc,0,155,54909.727,354.2561929472031
"64-6403747",Angel,1,35,9649.9795,275.71371023995533
"74-6837544",Elf,0,65,27991.344,430.6359976548415
"30-2187285",Northman,0,25,10932.76,437.31039936065673
"73-0268255",Elf,1,3,588.43,196.1433334350586
"55-7626830",Orc,0,1,374.32,374.32000732421875
"35-3451014",Orc,0,98,144726.78,1476.804174155605
"88-5315673",Angel,0,2,9.72,4.860000133514404
"93-2658770",Human,0,98,53997.91,550.9989776635657
"02-8121475",Angel,0,1,157.21,157.2100067138672
"16-9807376",Elf,0,17,10959.32,644.6658860515146
"70-6177304",Orc,0,27,2767.09,102.48481440792482
"70-3313852",Human,1,276,559833.0,2028.3805850830631
"84-8812761",Hobbit,0,31,11072.35,357.17258296474336
"86-9322838",Human,0,37,12713.391,343.60513274734086
"53-9670884",Hobbit,0,23,18394.75,799.7717376999233
"03-6241789",Human,0,17,46490.457,2734.7329541374656
"61-6979407",Human,0,15,3468.37,231.22466888427735
"63-2399024",Elf,1,29,21212.463,731.4641217527718
"90-8525566",Angel,0,4596,382803.72,83.29057852733877
"50-7074200",Northman,1,25,13617.749,544.7099922275543
"65-6328081",Northman,0,21,9929.92,472.8533387865339
"64-1403015",Elf,0,36,20773.643,577.045552521944
"80-3892631",Elf,0,61,52506.527,860.7626239589003
"11-3694445",Human,0,64,144726.88,2261.3573360443115
"83-6797432",Orc,0,223,17264.906,77.42107594708156
"87-6376254",Human,0,34,10912.148,320.9455875508925
"51-0574196",Northman,0,67,57356.203,856.0625341009738
"49-4712528",Orc,0,104,78973.21,759.3577851515549
"55-1725817",Human,0,1,5249.92,5249.919921875
"26-6264032",Hobbit,0,17,72183.0,4246.059362074908
"95-8774989",Elf,0,37,34669.133,937.0035033808467
"41-7688168",Northman,0,2,1160.39,580.1949806213379
"26-6390018",Elf,0,68,70002.0,1029.4411702997545
"73-4479204",Hobbit,0,39,10696.6,274.2717932187594
"21-9161895",Orc,1,68,55606.703,817.7455931376008
"96-6267666",Human,0,22,15608.35,709.470448884097
"67-1785004",Northman,0,14,42792.17,3056.5836225237167
"66-1951716",Northman,0,4,599.39,149.8474998474121
"78-1653619",Northman,0,6,378.07,63.01166661580404
"66-9437147",Hobbit,0,71,2515.589,35.43084523039804
"12-6410082",Demon,0,32,12574.881,392.96500516682863
"29-1276306",Elf,0,65,36891.35,567.5592327704796
"95-0947330",Human,0,268,378850.03,1413.6195576617968
"41-1264783",Orc,0,5,11402.591,2280.517987060547
"53-1585333",Human,1,81,22245.814,274.63962902551816
"18-8630531",Hobbit,0,75,47725.668,636.3421303812663
"77-1276695",Orc,0,8,383.3,47.91249942779541
"48-2868635",Human,0,43,10850.76,252.34325329093045
"96-6553826",Hobbit,0,30,5887.83,196.26099869410197
"36-5456734",Orc,0,224,319481.38,1426.2570501736232
"59-9368581",Hobbit,0,35,4025.5107,115.0145724432809
"46-6951486",Angel,0,99,176491.38,1782.7422252231174
"22-3726881",Hobbit,0,109,20577.875,188.78779702339696
"89-0235155",Orc,0,34,27238.203,801.1235185510972
"39-3951805",Northman,0,220,394722.5,1794.1931776090103
"10-6368133",Elf,0,84,35300.184,420.2402326911688
"58-9708411",Human,0,35,45078.098,1287.9454302106585
"47-2442067",Hobbit,0,31,18753.379,604.9477401241179
"67-5873224",Orc,0,8,19172.639,2396.5799741744995
"70-5182467",Human,0,45,10751.378,238.91955331166585
"30-1585352",Orc,0,22,4509.24,204.96544933319092
"14-9486756",Hobbit,0,399,130084.81,326.0272421161632
"07-9723603",Hobbit,0,259,158125.8,610.5243979908785
"74-1831985",Human,0,49,13299.563,271.41958949030663
"78-6196854",Human,0,43,38352.805,891.925583772881
"58-9248036",Hobbit,0,9,2867.2898,318.58777872721356
"19-9737838",Northman,1,4,786.06995,196.51749420166016
"33-7114964",Northman,1,11,2732.5498,248.4136310924183
"02-7078487",Human,1,6,2111.1702,351.8616689046224
"84-1987476",Northman,1,49,3362.98,68.63224521461798
"51-4591224",Hobbit,0,160,48715.977,304.474807985127
"62-5236182",Elf,0,6,1287.65,214.60833613077799
"49-0474361",Elf,0,8,4510.54,563.8175048828125
"29-2583647",Demon,0,23,7740.9893,336.5647821973847
"86-4983787",Elf,0,204,112984.41,553.8450959897509
"47-7883158",Hobbit,0,61,66902.72,1096.7659031064172
"83-9380652",Elf,1,48,26038.463,542.4679130911827
"53-0433713",Angel,1,19,5086.9897,267.73631286621094
"40-2966927",Orc,0,364,142631.72,391.84527518128425
"87-6935796",Northman,0,34,72727.73,2139.050608915441
"35-7444555",Human,0,75,148923.03,1985.6407946777344
"95-7137496",Northman,0,34,9294.301,273.3617645291721
"93-7611050",Demon,0,12,6359.68,529.9733378092448
"31-3186692",Human,0,120,15816.065,131.80049957434338
"14-9878491",Elf,0,24,13617.751,567.4062487284342
"20-0789065",Demon,0,28,150065.34,5359.47683443342
"09-8577011",Orc,0,102,13765.438,134.95519474207185
"41-5955863",Northman,0,4,1796.74,449.1850051879883
"02-7324881",Elf,0,16,20961.89,1310.1181197166443
"65-6099420",Elf,0,92,43960.098,477.8270665873652
"54-4385918",Orc,0,41,4008.9304,97.77878115235305
"48-1478274",Human,0,21,74862.31,3564.8723620460146
"16-1015461",Hobbit,1,41,18779.953,458.04754387460105
"09-1366107",Human,0,121,59124.914,488.63561711207893
"29-8059296",Human,0,15,12914.02,860.9346659342448
"74-9091958",Human,0,6,6627.91,1104.6516850789387
"35-4208320",Orc,0,49,16762.762,342.0971444577587
"83-5137397",Northman,1,17,3076.88,180.99294247346765
"36-2525823",Human,0,38,5421.3,142.66579015631424
"47-5406103",Elf,1,52,16583.414,318.9117304466378
"68-0276079",Human,1,75,24120.555,321.60733370463055
"12-2381672",Hobbit,1,124,92420.26,745.3245086016193
"37-0419785",Human,0,127,76823.72,604.9110208726305
"88-2608054",Hobbit,0,28,16402.69,585.8103588649204
"47-4770601",Human,0,229,37007.27,161.60375477445177
"55-9431194",Elf,0,30,22039.861,734.6619930267334
"99-5888189",Human,0,90,14300.303,158.89222188062138
"44-1258841",Human,0,2,411.75,205.87500381469727
"18-0737891",Human,0,88,9132.782,103.78159104964949
"79-3705760",Hobbit,0,28,12978.56,463.5200049536569
"10-4944245",Human,1,19,7101.74,373.7757809950333
"53-3069746",Human,1,11,2208.48,200.7709066217596
"21-5015648",Human,1,33,8113.739,245.8709074078184
"77-4522747",Human,0,92,28942.924,314.5969553823056
"00-5895027",Northman,0,1086,79911.56,73.58337948640077
"09-4955878",Northman,0,27,52308.33,1937.345162568269
"46-8595511",Angel,1,1,74.86,74.86000061035156
"20-4013177",Elf,0,96,38643.312,402.53447951128084
"29-2430522",Orc,0,12,5831.9,485.99166742960614
"88-0247421",Elf,0,3,497.84,165.9466692606608
"71-7826157",Elf,1,7,3473.68,496.24000767299106
"63-5664691",Northman,0,34,42968.133,1263.7685519106249
"90-9217818",Orc,1,196,89646.14,457.37836514579664
"19-2030446",Hobbit,0,1,11.23,11.229999542236328
"69-4608297",Orc,0,51,83614.61,1639.501957986869
"73-2499670",Hobbit,0,83,147707.94,1779.6134957922511
"68-8552416",Demon,0,21,63185.117,3008.814753214518
"02-2571312",Human,0,53,153878.9,2903.3757188185205
"82-6202625",Elf,0,24,35916.242,1496.5099940299988
"04-9974284",Hobbit,0,9,19648.02,2183.113318549262
"52-2858831",Human,0,18,19767.04,1098.1688711548018
"91-5981843",Demon,0,9,2990.81,332.31222385830347
"63-6562156",Hobbit,1,13,4937.27,379.7900017958421
"12-0485176",Northman,0,203,37124.355,182.8785711579722
"14-5362908",Hobbit,0,88,51832.82,589.0090964273973
"39-4150573",Orc,0,68,25697.836,377.90926625448117
"89-9220280",Human,0,43,41628.05,968.0939524949983
"70-2522410",Elf,0,118,41386.23,350.7306782350702
"10-1106125",Human,0,28,19599.38,699.9778524466923
"12-6080989",Northman,1,224,1929182.4,8612.420923722642
"57-3239072",Elf,0,53,18772.123,354.1909404970565
"06-7800273",Hobbit,0,49,179727.72,3667.9127026834353
"19-4246170",Hobbit,0,9,3900.42,433.37999576992456
"11-3089216",Orc,0,53,20479.764,386.4105617820092
"11-9010080",Hobbit,0,86,32145.89,373.7894184256709
"30-5073856",Orc,0,34,35210.566,1035.6049941567815
"54-2124344",Northman,0,76,47719.14,627.8835529991867
"95-6962864",Human,0,15,6236.1606,415.7440017700195
"05-6784721",Human,0,72,35795.402,497.1583305862215
"63-4842095",Human,0,2,44.92,22.459999084472656
"66-1506980",Northman,0,7,1021.88995,145.98428290230888
"73-8585905",Orc,0,39,17105.643,438.6061497223683
"12-3795927",Elf,0,14,25468.69,1819.1921349934169
"88-1337927",Elf,0,30,12646.512,421.5503299077352
"18-4570452",Northman,0,2,45.04,22.519999504089355
"79-5146918",Elf,0,31,50919.63,1642.5687238939347
"32-1331449",Human,0,73,21604.18,295.9476713285054
"93-3903969",Human,0,67,10878.534,162.36611946483157
"30-5095604",Angel,0,79,20968.473,265.42366970351696
"70-1438863",Human,0,66,33965.664,514.6313601858689
"96-0495417",Orc,1,1,37.43,37.43000030517578
"87-8203509",Human,1,36,65308.29,1814.1188713709514
"80-7424179",Demon,0,57,18584.941,326.05157576109235
"48-2555062",Human,0,10,4274.7197,427.4720039367676
"32-9071026",Elf,0,35,261395.6,7468.445480728149
"17-0554653",Orc,0,40,8199.031,204.97574944794178
"29-5869645",Human,1,1,374.32,374.32000732421875
"03-9323730",Human,0,35,6156.0293,175.88657084873745
"76-9947718",Human,0,8,1129.49,141.18624952435493
"77-1791922",Human,1,1,299.46,299.4599914550781
"22-8223362",Human,1,9,6778.9204,753.2133257389069
"60-5355673",Northman,0,122,291331.75,2387.965241228948
"21-2837322",Hobbit,0,19,16754.541,881.8178992020456
"35-4171516",Elf,0,28,8802.2705,314.36678641183033
"81-1678807",Orc,0,28,19794.02,706.9292834145682
"85-5670096",Northman,1,88,286908.97,3260.3292629068546
"70-0114451",Orc,0,1,74.86,74.86000061035156
"59-6880126",Northman,0,3,905.86,301.95333162943524
"15-1718179",Human,0,63,134810.47,2139.8487367175876
"49-6351328",Human,0,46,38488.203,836.6999923871911
"45-1028002",Orc,0,38,13594.508,357.75026040328174
"21-2409439",Human,1,16,3451.25,215.70312309265137
"93-1904845",Northman,0,81,137206.7,1693.909974348398
"94-4833109",Northman,1,73,136553.5,1870.596025440791
"07-1755738",Angel,0,24,27669.713,1152.9045820236206
"36-5441631",Northman,0,6,1197.8099,199.63499704996744
"87-7746401",Human,0,17,6004.08,353.18118241254024
"83-7132601",Human,0,33,6820.979,206.69636405598033
"29-9185675",Human,1,26,77776.04,2991.386491922232
